,Nation oder Organisation,Name der Sonde,Typ,Missonsname/ Programmname,Dauer,Dauer,Status,Untersuchungsobjekt(e) und Missionsziele,"Position der Sonde, falls abweichend vom Untersuchungsobjekt"
,Nation oder Organisation,Name der Sonde,Typ,Missonsname/ Programmname,von,bis,Status,Untersuchungsobjekt(e) und Missionsziele,"Position der Sonde, falls abweichend vom Untersuchungsobjekt"
111,Vereinigte Staaten,Lunar Orbiter 2,Orbiter,Lunar Orbiter,1966,1967,Beendet,Erdmond,
112,Vereinigte Staaten,"Lunar Orbiter 3, Lunar Orbiter 4",Orbiter,Lunar Orbiter,1967,1967,Beendet,Erdmond,
113,Vereinigte Staaten,Lunar Orbiter 5,Orbiter,Lunar Orbiter,1967,1968,Beendet,Erdmond,
114,Vereinigte Staaten,Explorer 33,Orbiter,Explorer,1966,1971,Erd(-orbit) nie verlassen,Erdmond,
115,Vereinigte Staaten,Explorer 35,Orbiter,Explorer,1967,1973,Beendet,Erdmond,
116,Vereinigte Staaten,Explorer 49 (auch: RAE-B),Orbiter,Explorer,1973,1973,Beendet,Erdmond,
117,Vereinigte Staaten,ISEE-3 (auch: ICE oder Explorer 59),"Flyby-Sonde, Orbiter","Explorer, ISEE/ICE",1978,1997,"Beendet.mw-parser-output .fussnoten-marke{font-size:0.75rem;font-style:normal;font-variant:normal;font-weight:normal;unicode-bidi:isolate;white-space:nowrap}.mw-parser-output .fussnoten-marke.reference,.mw-parser-output span.fussnoten-inhalt{padding-left:0.1rem}.mw-parser-output .fussnoten-marke.reference~.fussnoten-marke.reference,.mw-parser-output span.fussnoten-inhalt~span.fussnoten-inhalt{padding-left:0.15rem}.mw-parser-output .fussnoten-block{margin-bottom:0.1rem}.mw-parser-output div.fussnoten-inhalt{display:inline-block;padding-left:0.8rem;text-indent:-0.8rem}.mw-parser-output div.fussnoten-inhalt p,.mw-parser-output div.fussnoten-inhalt dl,.mw-parser-output div.fussnoten-inhalt ol,.mw-parser-output div.fussnoten-inhalt ul{text-indent:0}.mw-parser-output div.fussnoten-inhalt.fussnoten-floatfix{display:block}.mw-parser-output .fussnoten-box{margin-top:0.5rem;padding-left:0.8rem}.mw-parser-output .fussnoten-box,.mw-parser-output div.fussnoten-inhalt{font-size:94%}.mw-parser-output .fussnoten-box div.fussnoten-inhalt,.mw-parser-output span.fussnoten-inhalt,.mw-parser-output .fussnoten-inhalt .mw-reference-text{font-size:inherit}.mw-parser-output .fussnoten-inhalt .mw-reference-text{display:inline}.mw-parser-output .fussnoten-linie{display:inline-block;position:relative;top:-1em;border-top:solid 1px #808080;width:8rem}.mw-parser-output .fussnoten-linie+p,.mw-parser-output .fussnoten-linie+dl,.mw-parser-output .fussnoten-linie+ol,.mw-parser-output .fussnoten-linie+ul,.mw-parser-output .fussnoten-linie+link+div{margin-top:-1em}.mw-parser-output .fussnoten-marke.reference:target,.mw-parser-output .fussnoten-inhalt:target{background-color:#eaf3ff;box-shadow:0 0 0 0.25em #eaf3ff}.mw-parser-output .fussnoten-marke.reference:target,.mw-parser-output .fussnoten-inhalt:target .fussnoten-marke{font-weight:bold}⁠2","Sonne, Erde, Komet Giacobini-Zinner, Halleyscher Komet",
118,Vereinigte Staaten,ACE,Orbiter,Explorer,1997,–,Aktiv⁠1,Partikel,Lagrange-Punkt L1
119,Vereinigte Staaten,WMAP (auch: Explorer 80),Orbiter,Explorer,2001,2010,Beendet,Kosmische Hintergrundstrahlung,"Lagrange-Punkt L2, nach Missionsende Sonnenorbit"
120,Vereinigte Staaten,ARTEMIS P1 (auch: THEMIS B oder Explorer 87),Orbiter,"THEMIS, ARTEMIS / Explorer",2007,???,Beendet,Weltraumwetter,"zunächst Erdorbit, ab 2007 Lagrange-Punkt L1, ab 2011 Mondorbit"
121,Vereinigte Staaten,ARTEMIS P2 (auch: THEMIS C oder Explorer 88),Orbiter,"THEMIS, ARTEMIS / Explorer",2007,???,Beendet,Weltraumwetter,"zunächst Erdorbit, ab 2007 Lagrange-Punkt L2, ab 2011 Mondorbit"
122,Vereinigte Staaten BR Deutschland,Helios 1,Orbiter,Helios,1974,1986,Beendet,Sonne,
123,Vereinigte Staaten BR Deutschland,Helios 2,Orbiter,Helios,1976,1981,Beendet,Sonne,
124,Vereinigte Staaten,Viking 1,"Orbiter, Lander",Viking,1975,1982,Beendet,Mars,
125,Vereinigte Staaten,Viking 2,"Orbiter, Lander",Viking,1975,1978,Beendet,Mars,
126,Vereinigte Staaten,Voyager 1,Flyby-Sonde,Voyager / Flagship,1977,–,Aktiv⁠1,"Jupiter, Saturn, Heliosphäre, Interstellarer Raum",
127,Vereinigte Staaten,Voyager 2,Flyby-Sonde,Voyager / Flagship,1977,–,Aktiv⁠1,"Jupiter, Saturn, Uranus, Neptun, Heliosphäre, Interstellarer Raum",
128,Vereinigte Staaten  BR Deutschland,Galileo,"Flyby-Sonde, Orbiter",Flagship,1989,2003,Beendet,"Asteroiden Gaspra und Ida, Jupiter und seine Monde",
129,Vereinigte Staaten  ESA  Italien,Cassini-Huygens,"Orbiter, Lander",Flagship,1997,2017,Beendet,Saturn und Saturnmond Titan,
130,Vereinigte Staaten,Curiosity,Rover,Mars Science Laboratory / Flagship,2011,–,Aktiv⁠1,Mars,
131,Vereinigte Staaten,Magellan,Orbiter,–,1989,1994,Beendet,Venus,
132,Vereinigte Staaten  ESA,Ulysses,Orbiter,–,1990,2008,Beendet,Sonne,
133,Vereinigte Staaten,Mars Observer,Orbiter,–,1992,1993,Beendet,Mars,
134,Vereinigte Staaten  Frankreich,Clementine,Orbiter,–,1994,1994,Beendet,Erdmond,
135,Vereinigte Staaten  ESA  Russland  Tschechien  Japan,Wind,Orbiter,ISTP,1994,1998,Aktiv⁠3,Wechselwirkung Sonne/Erde,"Lagrange-Punkt L1, jetzt Erdorbit"
136,Vereinigte Staaten  ESA,SOHO,Orbiter,ISTP,1995,–,Aktiv,Sonne,
137,Vereinigte Staaten,NEAR Shoemaker,Orbiter⁠4,Discovery,1996,2001,Beendet,Asteroid Eros,
138,Vereinigte Staaten,Mars Pathfinder und Sojourner,"Lander, Rover",Discovery,1996,1997,Beendet,Mars,
139,Vereinigte Staaten,Lunar Prospector,"Orbiter, Impaktor",Discovery,1998,1999,Beendet,Erdmond,
140,Vereinigte Staaten,Stardust,Flyby-Sonde,Discovery,1999,2011,Beendet,"interstellarer Staub, Asteroid Annefrank und Komet Wild 2",
141,Vereinigte Staaten,Genesis,"Orbiter, Rückkehrsonde",Discovery,2001,2004,Beendet,Sonnenwind,Lagrange-Punkt L1
142,Vereinigte Staaten,CONTOUR,Flyby-Sonde,Discovery,2002,2002,Erd(-orbit) nie verlassen,"Kometen Encke, Schwassmann-Wachmann 3 und 6P/d’Arrest",
143,Vereinigte Staaten,MESSENGER,Orbiter,Discovery,2004,2015,Beendet,Merkur,
144,Vereinigte Staaten,Deep Impact,"Flyby-Sonde, Impaktor",Discovery,2005,2013,Beendet,"Komet Tempel 1, Komet 103P/Hartley 2",
145,Vereinigte Staaten,Dawn,"Flyby-Sonde, Orbiter",Discovery,2007,2018,Beendet,"Mars, Vesta und Ceres",
146,Vereinigte Staaten,Kepler,Orbiter,Discovery,2009,2018,Beendet,Astronomie (Exoplaneten),Sonnenorbit
147,Vereinigte Staaten,"GRAIL A, GRAIL B",Orbiter,Discovery,2011,2012,Beendet,Erdmond,
148,Vereinigte Staaten  Deutschland,InSight,Lander,InSight-MarCo / Discovery,2018,–,Aktiv⁠1,Mars,
149,Vereinigte Staaten,MarCo-A und MarCo-B,Orbiter,InSight-MarCo / Discovery,2018,2019,Beendet,Landeunterstützung für den InSight-Marslander,
150,Vereinigte Staaten,Lucy,Flyby-Sonde,Discovery,2021,–,Aktiv,Jupiter-Trojaner,
151,Vereinigte Staaten,Psyche,Orbiter,Discovery,2023,–,Geplant,Asteroid (16) Psyche,
152,Vereinigte Staaten,VERITAS,Orbiter,Discovery,2028,–,Geplant,Venus,
153,Vereinigte Staaten,Mars Global Surveyor,Orbiter,–,1996,2006,Beendet,Mars,
154,Vereinigte Staaten,Deep Space 1,Flyby-Sonde,New Millennium,1998,2001,Beendet,"Asteroid (9969) Braille, Komet 19P/Borrelly",
155,Vereinigte Staaten,Deep Space 2,Penetrator,New Millennium,1999,1999,Beendet,Mars,
156,Vereinigte Staaten,Mars Climate Orbiter,Orbiter,Mars Surveyor,1998,1999,Beendet,Mars,
157,Vereinigte Staaten,Mars Polar Lander,Lander,Mars Surveyor,1999,1999,Beendet,Mars,
158,Vereinigte Staaten,2001 Mars Odyssey,Orbiter,–,2001,–,Aktiv⁠1,Mars,
159,Vereinigte Staaten,Spirit (auch: MER-A) und Opportunity (auch: MER-B),Rover,Mars Exploration Rover,2003,2019,Beendet,Mars,
160,Vereinigte Staaten,Spitzer-Weltraumteleskop,Orbiter,Great Observatory,2003,2020,Beendet,Infrarotteleskop,???
161,Vereinigte Staaten,Mars Reconnaissance Orbiter,Orbiter,–,2005,–,Aktiv⁠1,Mars,
162,Vereinigte Staaten,New Horizons,Flyby-Sonde,New Frontiers,2006,–,Aktiv⁠1,"Pluto, (486958) Arrokoth, Kuipergürtel, Heliosphäre",
163,Vereinigte Staaten,Juno,Orbiter,New Frontiers,2011,–,Aktiv⁠1,Jupiter,
164,Vereinigte Staaten,OSIRIS-REx,"Orbiter, Rückkehrsonde",New Frontiers,2016,–,Aktiv,Asteroid (101955) Bennu,
165,Vereinigte Staaten,Dragonfly,Atmosphärische Flugsonde,New Frontiers,2026,–,Geplant,Saturnmond Titan,
166,Vereinigte Staaten,STEREO A,Orbiter,STEREO,2006,–,Aktiv⁠1,Wechselwirkung Sonne/Erde und Sonne,Sonnenorbit
